"Duration","Finished","FinanciallyInd","NoLongerHome","MOA_ACH","Adult","Exploration","Negativity","Identity","BetweenStages","Politics","PoliticsDichotomous","Party","PartyDichotomous","SWLS","Mindfulness","Belonging","SelfEfficacy","SupportFriends","SupportFamily","SupportSpecial","SocialSupport","SMmaintain","SMnewconnect","SMinformation","SMtotal","USdream1","USdream2","Conflict","Symptoms","Stress","IMPmarriage","IMPparenting","IMPcareer","IMPhobbies","Gender","Age","Race","Disability"
30.65,1,2,1,38,1,3.5,3.5,4.0,4.0,2,1,3,1,23,2.4,4,34,6.75,6.0,5.25,72,3.8,4.75,4.5,47,4,4,3,24,33,10.0,25.0,30.0,35.0,2,20,1,2
24.45,1,1,1,33,1,4.0,4.0,3.5,4.0,1,1,4,,21,1.8,4,34,6.5,6.6,7.0,81,2.4,1.25,3.0,23,4,4,4,24,36,10.0,25.0,35.0,30.0,1,23,1,2
36.416666666666664,0,2,1,33,1,4.0,4.0,4.0,3.0,2,1,8,2,9,2.2,2,22,5.5,4.0,6.25,62,3.0,3.25,3.0,34,2,2,6,27,33,1.0,1.0,59.0,39.0,1,23,1,2
20.483333333333334,1,2,1,47,1,4.0,3.5,3.0,3.5,1,1,8,2,17,3.2,4,30,6.25,5.8,6.0,72,3.0,3.5,4.0,37,3,4,4,16,35,25.0,25.0,25.0,25.0,1,18,1,2
34.46666666666667,1,1,1,27,1,3.5,3.0,4.0,2.5,8,2,8,2,20,3.4,3,24,1.75,4.2,7.0,54,1.2,1.25,1.0,13,1,1,2,24,29,13.0,33.0,21.0,33.0,2,23,1,2
27.6,0,1,1,34,1,3.5,4.0,3.5,3.0,4,,4,,18,4.13333333,4,23,4.5,3.6,7.0,60,2.8,3.25,5.0,37,4,3,1,25,32,70.0,70.0,90.0,90.0,2,25,1,2
30.65,0,2,2,39,1,3.5,3.5,2.5,2.5,2,1,1,1,27,3.0,4,30,7.0,5.2,6.5,73,4.4,3.25,4.0,43,2,4,5,20,30,15.0,25.0,40.0,20.0,2,22,1,2
35.18333333333333,0,1,1,34,2,3.5,3.0,4.0,4.0,3,1,8,2,25,4.6,4,33,5.75,6.2,5.75,72,3.8,3.25,1.5,35,1,2,2,25,35,10.0,20.0,20.0,50.0,2,21,1,2
26.6,1,1,2,31,1,4.0,4.0,4.0,3.0,5,2,2,1,12,3.86666667,5,30,6.75,5.8,5.5,72,2.6,2.5,2.0,27,4,4,2,19,33,25.0,25.0,25.0,25.0,1,25,1,2
29.833333333333332,1,1,1,29,1,2.0,4.0,2.0,3.0,1,1,4,,32,1.6,1,31,2.25,3.8,1.5,32,3.0,3.0,5.0,37,5,4,5,22,38,0.0,0.0,70.0,30.0,2,22,1,2
26.666666666666668,1,1,2,36,1,4.0,2.0,3.5,2.5,8,2,8,2,23,4.46666667,3,24,6.75,6.0,5.25,72,3.8,3.75,3.0,40,1,1,2,16,29,2.0,28.0,40.0,30.0,1,23,1,2
50.766666666666666,1,1,1,33,1,4.0,4.0,4.0,4.0,2,1,4,,14,4.2,5,36,3.5,4.8,3.0,47,3.6,3.25,4.0,39,2,3,3,18,32,13.0,60.0,13.0,13.0,1,19,1,2
35.2,1,2,1,37,1,3.0,4.0,4.0,3.5,8,2,8,2,29,1.8,4,29,5.5,2.2,7.0,54,2.2,2.25,3.0,26,3,4,3,35,38,0.0,0.0,50.0,50.0,2,25,1,2
29.3,1,1,1,33,1,3.5,4.0,2.5,1.5,6,2,2,1,24,3.6,5,29,7.0,4.8,7.0,73,2.2,2.75,2.0,26,2,2,2,22,33,40.0,100.0,100.0,80.0,1,22,1,2
25.383333333333333,0,1,1,38,1,3.0,3.5,2.5,3.5,1,1,2,1,9,5.2,2,25,5.75,5.8,4.5,65,2.2,2.5,2.5,26,3,2,2,24,31,20.0,25.0,25.0,30.0,2,19,1,2
27.3,1,2,1,36,2,3.0,3.0,3.0,2.0,3,1,3,1,27,4.46666667,4,34,6.0,5.2,6.5,70,2.4,1.25,2.0,21,1,1,2,22,30,2.0,0.0,49.0,49.0,1,26,1,2
27.866666666666667,1,2,1,35,1,4.0,4.0,4.0,3.0,2,1,2,1,25,4.26666667,5,31,7.0,6.8,6.5,81,2.6,1.0,3.0,23,3,3,2,25,29,2.0,20.0,40.0,35.0,2,22,1,2
15.3,0,1,1,29,2,3.0,3.0,2.5,3.0,2,1,3,1,25,3.2,3,28,5.5,4.8,6.25,65,2.2,1.75,2.5,23,3,4,2,28,31,30.0,75.0,60.0,80.0,2,22,1,2
23.866666666666667,1,2,3,41,1,4.0,4.0,4.0,4.0,2,1,2,1,22,4.26666667,5,39,7.0,7.0,7.0,84,4.2,3.25,5.0,44,2,4,1,22,37,10.0,25.0,35.0,30.0,2,21,1,2
1156.1166666666666,0,2,1,34,1,4.0,3.0,3.5,4.0,8,2,8,2,22,3.8,4,29,6.5,4.0,7.0,68,3.0,2.25,3.0,30,2,3,2,29,35,0.0,0.0,60.0,40.0,2,18,1,2
44.766666666666666,1,2,3,43,1,4.0,4.0,4.0,4.0,2,1,2,1,29,4.6,5,33,7.0,6.8,6.0,79,4.0,2.5,5.0,40,1,4,2,21,39,30.0,30.0,25.0,15.0,2,24,1,2
36.28333333333333,1,1,1,32,2,3.5,3.5,3.5,4.0,8,2,8,2,29,4.26666667,3,28,6.25,6.0,6.5,75,3.4,2.0,3.5,32,4,4,2,26,38,25.0,35.0,35.0,5.0,2,23,1,2
118.43333333333334,0,2,3,38,1,3.5,3.5,4.0,3.0,4,,4,,11,3.73333333,3,34,5.0,3.6,4.75,53,2.8,3.75,5.0,39,5,4,4,18,29,30.0,30.0,30.0,10.0,1,24,1,2
59.2,1,1,2,37,1,4.0,4.0,4.0,4.0,8,2,8,2,32,4.4,4,32,7.0,6.8,7.0,83,4.8,3.75,5.0,49,3,3,2,18,32,0.0,50.0,30.0,20.0,2,23,1,2
38.88333333333333,0,3,3,40,1,2.5,3.0,1.0,1.0,8,2,4,,28,4.33333333,5,31,6.0,4.8,7.0,70,2.4,1.0,1.0,18,1,1,4,21,29,1.0,1.0,49.0,49.0,1,25,1,2
22.466666666666665,1,2,3,39,1,3.5,4.0,3.0,3.5,8,2,8,2,11,3.8,3,19,6.0,6.2,6.5,75,3.2,2.5,4.0,34,2,3,1,23,29,0.0,0.0,40.0,60.0,2,20,1,2
29.833333333333332,0,2,1,36,1,4.0,3.5,4.0,3.0,3,1,3,1,20,4.73333333,5,30,6.5,5.4,6.25,72,3.6,4.75,5.0,47,3,3,4,29,29,0.0,0.0,60.0,40.0,2,25,1,1
